RptDt;TckrSymb;UpdActn;IntrstRateTermTrad;TradQty;NtryTm;TradId;TradgSsnId;TradDt;Mkt
2021-04-26;ABEV3;0;0,090;1000;080130519;28779049;1;2021-04-26;92
2021-04-26;COGN3;0;0,780;3200;080132472;28779047;1;2021-04-26;92
2021-04-26;ABEV3;0;0,090;800;080132488;28779050;1;2021-04-26;92
2021-04-26;BPAN4;0;2,070;100;080132488;28779048;1;2021-04-26;92
2021-04-26;AALR3;0;1,980;5000;080132503;28779046;1;2021-04-26;92
2021-04-26;COGN3;0;0,990;6073;080132503;28779051;1;2021-04-26;92
2021-04-26;ABEV3;0;0,090;1100;080132691;28779052;1;2021-04-26;92
2021-04-26;ABEV3;0;0,090;1000;080132753;28779061;1;2021-04-26;92
2021-04-26;COGN3;0;0,940;6000;080132769;28779053;1;2021-04-26;92
2021-04-26;BPAN4;0;2,070;2000;080133050;28779054;1;2021-04-26;92
2021-04-26;CMIG4;0;0,100;36100;080133191;28779055;1;2021-04-26;92
2021-04-26;BBAS3;0;0,070;1900;080133300;28779056;1;2021-04-26;92
2021-04-26;COGN3;0;0,480;1927;080133738;28779057;1;2021-04-26;92
2021-04-26;COGN3;0;0,480;2500;080133800;28779058;1;2021-04-26;92
2021-04-26;BTOW3;0;1,280;94;080134050;28779059;1;2021-04-26;92
2021-04-26;AURA33;0;5,000;837;080134238;28779060;1;2021-04-26;92
2021-04-26;COGN3;0;0,780;2700;080134379;28779062;1;2021-04-26;92
2021-04-26;BKBR3;0;1,840;600;080134785;28779063;1;2021-04-26;92
2021-04-26;JBSS3;0;0,100;329;080134879;28779064;1;2021-04-26;92
2021-04-26;JBSS3;0;0,100;2218;080135051;28779065;1;2021-04-26;92
2021-04-26;JBSS3;0;0,120;3461;080135301;28779066;1;2021-04-26;92
2021-04-26;COGN3;0;0,780;3000;080135426;28779067;1;2021-04-26;92
2021-04-26;AGRO3;0;9,280;2200;080135847;28779068;1;2021-04-26;92
2021-04-26;BPAN4;0;2,070;2000;080135910;28779070;1;2021-04-26;92
2021-04-26;CMIG4;0;0,060;34800;080136113;28779069;1;2021-04-26;92
2021-04-26;JBSS3;0;0,100;1200;080136363;28779071;1;2021-04-26;92
2021-04-26;COGN3;0;0,780;2700;080136504;28779072;1;2021-04-26;92
2021-04-26;EMBR3;0;30,000;100000;080226211;28779073;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;200;081044299;28779079;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;800;081044314;28779080;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;200;081044377;28779074;1;2021-04-26;91
2021-04-26;PETR3;0;0,500;100;081044408;28779075;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;100;081044439;28779077;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;200;081044455;28779078;1;2021-04-26;91
2021-04-26;CIEL3;0;1,500;200;081044486;28779076;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;200;081044502;28779082;1;2021-04-26;91
2021-04-26;ITUB4;0;0,500;200;081044533;28779083;1;2021-04-26;91
2021-04-26;VALE3;0;0,500;77;081044564;28779081;1;2021-04-26;91
2021-04-26;EGIE3;0;0,830;26;081112051;28779084;1;2021-04-26;91
2021-04-26;GGBR4;0;1,000;300;081231432;28779085;1;2021-04-26;91
2021-04-26;BBAS3;0;0,500;4;083937771;28779087;1;2021-04-26;91
2021-04-26;CSNA3;0;0,500;100;083937787;28779086;1;2021-04-26;91
2021-04-26;OIBR3;0;0,890;100;085705467;28779088;1;2021-04-26;91
2021-04-26;CSNA3;0;0,100;1000;085723765;28779089;1;2021-04-26;91
2021-04-26;BLAU3;0;5,000;5;085738329;28779090;1;2021-04-26;91
2021-04-26;ABCB4;0;1,260;100;085802815;28779091;1;2021-04-26;91
2021-04-26;BLAU3;0;5,000;493;085832803;28779092;1;2021-04-26;91
2021-04-26;IRBR3;0;3,310;3;085850351;28779093;1;2021-04-26;91
2021-04-26;MGLU3;0;0,200;100;085906493;28779094;1;2021-04-26;91
2021-04-26;AZUL4;0;1,880;200;091151822;28779105;1;2021-04-26;91
2021-04-26;AZUL4;0;1,880;171;091157057;28779106;1;2021-04-26;91
2021-04-26;LAME3;0;0,100;15100;091201042;28779095;1;2021-04-26;91
2021-04-26;SANB11;0;0,150;400;091521073;28779096;1;2021-04-26;92
2021-04-26;RENT3;0;0,200;31100;091524402;28779107;1;2021-04-26;91
2021-04-26;ENBR3;0;0,150;300;091538950;28779098;1;2021-04-26;92
2021-04-26;PETR4;0;0,150;76700;091553935;28779099;1;2021-04-26;92
2021-04-26;UGPA3;0;0,150;1522;091553935;28779102;1;2021-04-26;92
2021-04-26;CCRO3;0;0,150;504520;091610952;28779100;1;2021-04-26;92
2021-04-26;CIEL3;0;0,150;1200;091621016;28779101;1;2021-04-26;92
2021-04-26;TAEE11;0;0,150;1000;091653300;28779097;1;2021-04-26;92
2021-04-26;ABEV3;0;0,150;2870;091709208;28779103;1;2021-04-26;92
2021-04-26;MDIA3;0;4,980;1900;091850326;28779117;1;2021-04-26;91
2021-04-26;POWE3;0;0,200;100;091938611;28779116;1;2021-04-26;91
2021-04-26;POWE3;0;0,200;300;091938720;28779115;1;2021-04-26;91
2021-04-26;POWE3;0;0,200;300;091938783;28779114;1;2021-04-26;91
2021-04-26;CPLE6;0;30,000;2100;091938845;28779110;1;2021-04-26;91
2021-04-26;BBDC3;0;0,050;8100;091938939;28779109;1;2021-04-26;91
2021-04-26;BIDI4;0;4,120;5000;092255845;28779128;1;2021-04-26;91
2021-04-26;BIDI4;0;4,120;900;092255861;28779126;1;2021-04-26;91
2021-04-26;USIM5;0;0,220;500;092257642;28779132;1;2021-04-26;91
2021-04-26;IGTA3;0;0,300;700;092257783;28779133;1;2021-04-26;91
2021-04-26;TAEE3;0;5,500;100;092339287;28779127;1;2021-04-26;91
2021-04-26;HYPE3;0;0,220;400;092344444;28779125;1;2021-04-26;91
2021-04-26;WEGE3;0;0,300;100;092421478;28779186;1;2021-04-26;91
