RptDt;TckrSymb;UpdActn;IntrstRateTermTrad;TradQty;NtryTm;TradId;TradgSsnId;TradDt;Mkt
2021-04-27;ELET3;0;3,860;150;080243993;28796529;1;2021-04-27;92
2021-04-27;RADL3;0;0,160;100;080243993;28796531;1;2021-04-27;92
2021-04-27;AZUL4;0;2,290;4900;080244071;28796530;1;2021-04-27;92
2021-04-27;BRFS3;0;0,090;1478;080244493;28796532;1;2021-04-27;92
2021-04-27;HGTX3;0;2,500;100;082613219;28796534;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;200;082613954;28796535;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;100;082614407;28796533;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;100;082732694;28796536;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;211;083054289;28796544;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;1125;083054304;28796540;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;26;083054304;28796542;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;100;083054320;28796537;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;937;083054320;28796539;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;240;083054320;28796543;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;73;083054336;28796538;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;88;083054336;28796541;1;2021-04-27;91
2021-04-27;ELET3;0;4,500;100;083558345;28796551;1;2021-04-27;91
2021-04-27;CMIG4;0;0,500;2290;083558361;28796545;1;2021-04-27;91
2021-04-27;CMIG4;0;0,500;1410;083558377;28796548;1;2021-04-27;91
2021-04-27;CSNA3;0;0,500;300;083558408;28796550;1;2021-04-27;91
2021-04-27;EMBR3;0;17,500;250;083558439;28796547;1;2021-04-27;91
2021-04-27;SULA11;0;0,500;100;083558470;28796546;1;2021-04-27;91
2021-04-27;HGTX3;0;2,500;60;083558502;28796549;1;2021-04-27;91
2021-04-27;GRND3;0;1,880;35;084317600;28796552;1;2021-04-27;91
2021-04-27;ELET3;0;3,860;3;084326570;28796553;1;2021-04-27;92
2021-04-27;GGBR4;0;0,420;86;084457188;28796554;1;2021-04-27;91
2021-04-27;GGBR4;0;0,420;196;084501157;28796555;1;2021-04-27;91
2021-04-27;ENBR3;0;0,270;182;084628664;28796556;1;2021-04-27;91
2021-04-27;ENBR3;0;0,270;2607;084706964;28796557;1;2021-04-27;91
2021-04-27;ENBR3;0;0,270;1264;084707964;28796558;1;2021-04-27;91
2021-04-27;ENBR3;0;0,270;1336;084736325;28796559;1;2021-04-27;91
2021-04-27;ENBR3;0;0,270;3628;085411842;28796560;1;2021-04-27;91
2021-04-27;CCRO3;0;4,060;500;085951902;28796561;1;2021-04-27;92
2021-04-27;PETR4;0;0,500;1;090007388;28796562;1;2021-04-27;91
2021-04-27;BIDI11;0;2,000;100;090007685;28796563;1;2021-04-27;91
2021-04-27;RADL3;0;0,500;100;090007700;28796565;1;2021-04-27;91
2021-04-27;GOAU4;0;0,500;100;090007716;28796564;1;2021-04-27;91
2021-04-27;HGTX3;0;2,000;52;090428582;28796567;1;2021-04-27;93
2021-04-27;HGTX3;0;1,500;648;090429535;28796568;1;2021-04-27;93
2021-04-27;HGTX3;0;2,060;1500;090429535;28796569;1;2021-04-27;93
2021-04-27;IRBR3;0;3,310;3;091108865;28796573;1;2021-04-27;91
2021-04-27;VVAR3;0;0,160;100;091131085;28796574;1;2021-04-27;91
2021-04-27;TAEE11;0;3,920;1;091152946;28796575;1;2021-04-27;91
2021-04-27;CCRO3;0;3,890;60425;091201181;28796566;1;2021-04-27;91
2021-04-27;COGN3;0;0,780;270;091211385;28796578;1;2021-04-27;92
2021-04-27;LREN3;0;0,460;3;091213948;28796579;1;2021-04-27;91
2021-04-27;VVAR3;0;0,150;1;091231106;28796580;1;2021-04-27;92
2021-04-27;OIBR3;0;1,060;100;091233715;28796581;1;2021-04-27;91
2021-04-27;WEGE3;0;0,160;186;091250685;28796582;1;2021-04-27;92
2021-04-27;PETR4;0;0,050;18;091254733;28796583;1;2021-04-27;91
2021-04-27;ABEV3;0;0,100;100;091337705;28796584;1;2021-04-27;91
2021-04-27;ABEV3;0;0,100;1;091337752;28796586;1;2021-04-27;91
2021-04-27;ABEV3;0;0,100;100;091337767;28796585;1;2021-04-27;91
2021-04-27;GGBR4;0;0,150;8695;091507994;28796570;1;2021-04-27;92
2021-04-27;ECOR3;0;0,150;2234;091523433;28796571;1;2021-04-27;92
2021-04-27;CPLE6;0;29,070;4000;092246751;28796596;1;2021-04-27;91
2021-04-27;CPLE6;0;29,070;3000;092246767;28796595;1;2021-04-27;91
2021-04-27;ABCB4;0;1,350;100;092401538;28796598;1;2021-04-27;91
2021-04-27;SOMA3;0;0,820;200;092511169;28796636;1;2021-04-27;91
2021-04-27;BIDI4;0;4,120;400;092543281;28796601;1;2021-04-27;91
2021-04-27;BIDI4;0;4,120;100;092543296;28796615;1;2021-04-27;91
2021-04-27;BIDI4;0;4,120;112;092543312;28796616;1;2021-04-27;91
