RptDt;TckrSymb;UpdActn;IntrstRateTermTrad;TradQty;NtryTm;TradId;TradgSsnId;TradDt;Mkt
2021-04-23;BABA34;0;0,980;74;080146508;28765057;1;2021-04-23;92
2021-04-23;COGN3;0;1,250;100;080201713;28765063;1;2021-04-23;91
2021-04-23;PETR4;0;0,500;2000;080202853;28765061;1;2021-04-23;91
2021-04-23;CIEL3;0;1,750;11800;080204025;28765067;1;2021-04-23;91
2021-04-23;PETR4;0;0,500;200;080204025;28765062;1;2021-04-23;91
2021-04-23;ABEV3;0;0,500;200;080204041;28765066;1;2021-04-23;91
2021-04-23;PETR3;0;0,500;42;080204041;28765068;1;2021-04-23;91
2021-04-23;TAEE11;0;4,500;500;080204041;28765060;1;2021-04-23;91
2021-04-23;EMBR3;0;15,000;100;080204057;28765064;1;2021-04-23;91
2021-04-23;PRIO3;0;3,500;200;080204057;28765058;1;2021-04-23;91
2021-04-23;SMAL11;0;4,500;100;080204072;28765065;1;2021-04-23;91
2021-04-23;TAEE11;0;4,500;4;080204072;28765059;1;2021-04-23;91
2021-04-23;B3SA3;0;0,050;580;080303608;28765071;1;2021-04-23;92
2021-04-23;ENEV3;0;1,250;1000;080304108;28765069;1;2021-04-23;91
2021-04-23;CPLE6;0;30,000;500;080304155;28765070;1;2021-04-23;91
2021-04-23;SLCE3;0;0,610;68;082159703;28765072;1;2021-04-23;92
2021-04-23;ARZZ3;0;2,140;397;082252207;28765073;1;2021-04-23;92
2021-04-23;ARZZ3;0;2,150;90;082252816;28765074;1;2021-04-23;92
2021-04-23;ARZZ3;0;2,170;13;082254051;28765075;1;2021-04-23;92
2021-04-23;SUZB3;0;0,200;10000;083121936;28765076;1;2021-04-23;91
2021-04-23;CASH3;0;3,200;3000;083844738;28765077;1;2021-04-23;93
2021-04-23;FHER3;0;7,400;1200;083848332;28765080;1;2021-04-23;91
2021-04-23;FHER3;0;7,350;94;083848348;28765081;1;2021-04-23;91
2021-04-23;FHER3;0;7,350;106;083848395;28765078;1;2021-04-23;91
