TckrSymb
PETR3
RIOT34
ENAT3
POSI3
N1VO34
BBSE3
BITO39
BEWY39
HAGA4
A1LB34
AALL34
TSMC34
AERI3
ODPV3
GOLD11
PAGS34
BRFS3
JBDU3
HYPE3
BRSR6
D1EX34
TAEE11
PINE4
TMCO34
SANB3
ALUP4
S1TX34
PMAM3
GEPA4
TFCO4
OIBR3
BRCR11
KNRI11
AMZO34
VISC11
TGTB34
OMGE3
FRTA3
U1BE34
SANB11
CSMG3
DEEC34
CSNA3
AZUL4
D1EL34
VIVT3
CRIP34
JHSF3
PARD3
DISB34
KLBN11
LAME4
A1TH34
NOKI34
ALPA4
CGRA4
SULA11
ENEV3
B3SA3
CESP6
BBOV11
SGPS3
QCOM34
BEGU39
ELMD3
ANIM3
GOAU3
RPMG3
BIEF39
BIEU39
APER3
EXXO34
QUAL3
XPSF11
FHER3
BEEF3
PGCO34
C1OU34
RNEW4
UCAS3
NIKE34
UPSS34
ATOM3
JSRE11
BRCO11
AZEV4
TPIS3
AMBP3
TRPL4
I1RM34
E1RI34
MSFT34
BIOM3
F1SL34
BOAS3
GGRC11
GPCP3
WHRL4
PIBB11
BRML3
TSLA34
NEOE3
DIRR3
PGMN3
POMO4
EGIE3
R1CL34
XINA11
CPLE6
ECOR3
POWE3
RAIL3
AAPL34
CSED3
RBRP11
BIDI3
ADBE34
RAPT4
EURP11
SDIL11
XBOV11
LPSB3
CVSH34
RCSL3
SQIA3
AZEV3
ORVR3
IRDM11
SHUL4
BIGF39
BKNG34
BRAP4
LINX3
BRKM5
MDIA3
TEND3
ESPA3
HSML11
JPMC34
HOME34
BOBR4
ASML34
GOLL4
TMOS34
BPAN4
TIMS3
MYPK3
ALPK3
PYPL34
BEWT39
COWC34
EQTL3
MRCK34
AESB3
CHCM34
ALZR11
P1DD34
SLCE3
GEOO34
Z1OM34
BRDT3
KNCR11
GDBR34
SLED4
TWTR34
HAPV3
SEER3
ENGI4
BIAU39
COCE5
MTRE3
GGBR3
BBDC4
APTV34
BCSA34
KHCB34
LILY34
BBDC3
MALL11
BACW39
WEGE3
WEST3
GILD34
ETER3
SCAR3
CURY3
M1RN34
ORCL34
R1IN34
CHVX34
ABTT34
IRBR3
BIDU34
L1YG34
ENJU3
GGPS3
TRPL3
WIZS3
DMVF3
RECT11
B1TI34
TEXA34
PRIO3
ITSA4
PEPB34
EBAY34
ALSO3
WHRL3
CPTS11
N1TA34
VIVR3
DBAG34
ATMP3
BBAS3
PSSA3
E1OG34
V1NO34
BLAU3
CRPG5
BIEM39
ALPA3
TASA4
MOVI3
GFSA3
IGTA3
RDOR3
KLBN3
PDGR3
BBYY34
VILG11
STBP3
TRIS3
ROMI3
OXYP34
SAPR4
RNEW3
RCSL4
FESA4
GMCO34
GOAU4
USSX34
ACWI11
VISA34
LLIS3
CMIN3
PTBL3
W1MC34
FESA3
TRXF11
AMAR3
MRVE3
BABA34
LUPA3
S1PO34
SULA4
CVCB3
D1OC34
T1WL34
NETE34
MULT3
YDUQ3
CMIG4
ITSA3
AALR3
ROST34
SMAC11
PTNT4
B1IL34
RIGG34
ALUP11
DUKB34
USIM3
BPAC11
WSON33
VVAR3
REDE3
EALT4
SMAL11
KLBN4
T1DG34
BOVB11
VULC3
PFRM3
SSFO34
MILS3
RENT3
ITUB4
FIND11
HASH11
UNHH34
RNEW11
BIYW39
MGFF11
HCTR11
SAPR3
SUZB3
HBOR3
BONY34
BEGD39
SMTO3
BEWH39
T1EV34
DGCO34
TCNO4
HGRU11
FRAS3
TUPY3
B1AM34
MNPR3
NGRD3
HPQB34
SLED3
NFLX34
SBSP3
ISUS11
CPFE3
USIM5
BEWU39
VLID3
FBOK34
MGLU3
BRKM3
TELB4
UNIP6
OPCT3
MSCD34
JDCO34
CIEL3
BERK34
HALI34
IGBR3
C1SU34
DIVO11
JPSA3
PDTC3
MMXM3
ABUD34
XPLG11
B1DX34
CGAS5
GNDI3
E1QN34
TGAR11
KNIP11
BCFF11
INTB3
BOVA11
B1KR34
JBSS3
N1CL34
CTNM4
T1TW34
PLAS3
BMYB34
PETZ3
SBFG3
BEZU39
HGTX3
BMOB3
GPIV33
MDNE3
TGMA3
MRFG3
BOVV11
BIXJ39
TOTS3
BLAK34
TESA3
BAER39
BIDI11
CASH3
EQIX34
HGCR11
KEPL3
BSLV39
ENGI11
IVVB11
MUTC34
BOAC34
MBLY3
DMMO3
FDMO34
CAML3
LEVE3
BIBB39
UNIP3
TAEE4
DASA3
MOSI3
HGRE11
BEWG39
ABCB4
EVEN3
DHER34
MCCI11
GMAT3
CVBI11
JSLG3
CEAB3
SAPP34
A1YX34
MELK3
SPXI11
EMBR3
C1BO34
MELI34
ARZZ3
PNVL3
SEQL3
TCSA3
TECN3
RBRF11
LOGN3
POMO3
SMLS3
W1SO34
CESP3
PETR4
XPIN11
FCXO34
RANI3
SAPR11
XPML11
HFOF11
GOGL34
A1MB34
RADL3
AURA33
XPCI11
BCHI39
CSCO34
RDSA34
UGPA3
MDTC34
SNEC34
RBRR11
MTSA4
LREN3
ALLD3
VALE3
A1AP34
BEWW39
CRFB3
GRND3
VRTA11
BTLG11
ABEV3
BRPR3
MEAL3
MOSC34
SANB4
RSID3
HETA4
ITLC34
MATB11
C1CL34
OFSA3
HGLG11
LAME3
AGRO3
BIXN39
WFCO34
LAVV3
CYRE3
VAMO3
CTSA3
BIVB39
SNSY3
F1NI34
AMGN34
TCNO3
OIBR4
M1GM34
H1ES34
BRAP3
LWSA3
RBVA11
LOGG3
SOMA3
NTCO3
ULEV34
CAMB3
GGBR4
CATP34
PRNR3
CSAN3
FSLR34
BBRK3
MATD3
S1LG34
MTIG4
SIMH3
RRRP3
EUCA4
ELET6
CPLE3
GUAR3
G1FI34
BTOW3
VINO11
CCPR3
MXRF11
TASA3
DEAI34
PCAR3
VIVA3
JALL3
CARD3
NVDC34
TAEE3
BDVY39
CLSC4
CGRA3
LCAM3
ELET3
RDNI3
FLRY3
PTCH34
H1FC34
COGN3
EZTC3
BKBR3
W1DA34
LJQQ3
BMGB4
JNJB34
SHOW3
IBMB34
GTWR11
HBSA3
BIDI4
LIGT3
ITUB3
AIRB34
PLPL3
HBRE3
CMCS34
XPPR11
CMIG3
ASAI3
COCA34
ENBR3
BSEV3
CCRO3
ATVI34
A1MD34
WALM34
DTEX3
C1HK34
